Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE_x,IMP_VOLT,CF_CLOSE_y,DELTA,VEGA,THETA,GAMMA,DELTA_HEDGE,VEGA_HEDGE,THETA_HEDGE,GAMMA_HEDGE,Price_Change,Price_Change_Abs
364,/GDAX155000R0.EX,2020-05-04,2020-06-19,PUT ,15500.0,5187.1,47.43,10466.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,/GDAX114500R0.EX,2020-05-04,2020-06-19,PUT ,11450.0,1168.7,23.86,10466.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,/GDAX62000R0.EX,2020-05-04,2020-06-19,PUT ,6200.0,9.1,72.07,10466.8,0.9994759983783296,-0.0002812893399095,6.745274083856543,5.24285132996738,0.0,-0.0,0.0,0.0,0.0,0.0
101,/GDAX85000F0.EX,2020-05-04,2020-06-19,CALL,8500.0,1900.6,50.29,10466.8,0.9999999949286577,1.4896158972987903e-05,9.24890327397884,4.547473508864641e-06,0.0,0.0,0.0,0.0,0.0,0.0
292,/GDAX132500R0.EX,2020-05-05,2020-06-19,PUT ,13250.0,2936.0,30.45,10729.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.65999999999985,262.65999999999985
24,/GDAX49000R0.EX,2020-05-05,2020-06-19,PUT ,4900.0,2.2,86.42,10729.46,1.0000001063872332,0.0002631416009535,5.353210134087931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,/GDAX124000R0.EX,2020-05-05,2020-06-19,PUT ,12400.0,2087.2,25.13,10729.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,/GDAX119500R0.EX,2020-05-05,2020-06-19,PUT ,11950.0,1642.1,23.5,10729.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,/GDAX130500R0.EX,2020-05-05,2020-06-19,PUT ,13050.0,2736.1,29.13,10729.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,/GDAX129000R0.EX,2020-05-05,2020-06-19,PUT ,12900.0,2586.2,28.14,10729.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,/GDAX133500R0.EX,2020-05-06,2020-06-19,PUT ,13350.0,3036.0,31.24,10606.2,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-123.2599999999984,123.2599999999984
