Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE_x,IMP_VOLT,T,CF_CLOSE_y
218,/GDAX114000R0.EX,2020-05-14,2020-06-19,PUT ,11400.0,1124.3,24.1,0.0985626283367556,10337.02
253,/GDAX123000F0.EX,2020-05-14,2020-06-19,CALL,12300.0,3.2,24.18,0.0985626283367556,10337.02
155,/GDAX98500F0.EX,2020-05-14,2020-06-19,CALL,9850.0,750.4,37.36,0.0985626283367556,10337.02
96,/GDAX83500R0.EX,2020-05-14,2020-06-19,PUT ,8350.0,71.5,51.57,0.0985626283367556,10337.02
22,/GDAX48000R0.EX,2020-05-14,2020-06-19,PUT ,4800.0,2.0,87.27,0.0985626283367556,10337.02
42,/GDAX64000R0.EX,2020-05-14,2020-06-19,PUT ,6400.0,11.1,70.15,0.0985626283367556,10337.02
153,/GDAX98000F0.EX,2020-05-14,2020-06-19,CALL,9800.0,787.8,37.83,0.0985626283367556,10337.02
259,/GDAX124500F0.EX,2020-05-14,2020-06-19,CALL,12450.0,2.4,24.75,0.0985626283367556,10337.02
26,/GDAX52000R0.EX,2020-05-14,2020-06-19,PUT ,5200.0,3.1,83.06,0.0985626283367556,10337.02
129,/GDAX92000F0.EX,2020-05-14,2020-06-19,CALL,9200.0,1274.5,43.55,0.0985626283367556,10337.02
196,/GDAX108500R0.EX,2020-05-14,2020-06-19,PUT ,10850.0,706.4,28.05,0.0985626283367556,10337.02
84,/GDAX80500R0.EX,2020-05-14,2020-06-19,PUT ,8050.0,54.2,54.5,0.0985626283367556,10337.02
149,/GDAX97000F0.EX,2020-05-14,2020-06-19,CALL,9700.0,864.3,38.77,0.0985626283367556,10337.02
198,/GDAX109000R0.EX,2020-05-14,2020-06-19,PUT ,10900.0,738.7,27.65,0.0985626283367556,10337.02
378,/GDAX190000R0.EX,2020-05-14,2020-06-19,PUT ,19000.0,8689.8,71.82,0.0985626283367556,10337.02
86,/GDAX81000R0.EX,2020-05-14,2020-06-19,PUT ,8100.0,56.8,54.03,0.0985626283367556,10337.02
30,/GDAX56000R0.EX,2020-05-14,2020-06-19,PUT ,5600.0,4.8,78.51,0.0985626283367556,10337.02
268,/GDAX126500R0.EX,2020-05-14,2020-06-19,PUT ,12650.0,2336.5,26.5,0.0985626283367556,10337.02
